Author,Affiliation,Publication Date,Journal Title,Title,URL,,,,,,,,,,,,,,,,,,,,
Jin-Chuan Duan; Weimin Miao,"Risk Management Institute, Business School and Department of Economics, National University of Singapore, Singapore (bizdjc@nus.edu.sg); Risk Management Institute, National University of Singapore, Singapore (rmimw@nus.edu.sg)",2016/10/1,Journal of Business & Economic Statistics,Default Correlations and Large-Portfolio Credit Analysis,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1087855,,,,,,,,,,,,,,,,,,,,
Michael W. McCracken; Serena Ng,"Research Division, Federal Reserve Bank of St. Louis, St. Louis, MO63166 (michael.w.mccracken@stls.frb.org); University, New York, NY10025 (Serena.Ng@Columbia.edu)",2016/10/1,Journal of Business & Economic Statistics,FRED-MD: A Monthly Database for Macroeconomic Research,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1086655,,,,,,,,,,,,,,,,,,,,
Xiaoyi Han; Lung-Fei Lee,"(han.293@buckeyemail.osu.edu); Department of Economics, Ohio State University, Columbus, OH43210 (lee.1777@osu.edu)",2016/10/1,Journal of Business & Economic Statistics,"Bayesian Analysis of Spatial Panel Autoregressive Models With Time-Varying Endogenous Spatial Weight Matrices, Common Factors, and Random Coefficients",https://www.tandfonline.com/doi/abs/10.1080/07350015.2016.1167058,,,,,,,,,,,,,,,,,,,,
Daniele Bianchi; Massimo Guidolin; Francesco Ravazzolo,"Warwick Business School, University of Warwick, Coventry, CV4 7AL, UK (Daniele.Bianchi@wbs.ac.uk); Bocconi University, Department of Finance, BAFFI-CAREFIN, and IGIER, Milan, Italy (massimo.guidolin@unibocconi.it); Business School, Norway (Francesco.Ravazzolo@unibz.it)",2017/1/2,Journal of Business & Economic Statistics,Macroeconomic Factors Strike Back: A Bayesian Change-Point Model of Time-Varying Risk Exposures and Premia in the U.S. Cross-Section,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1061436,,,,,,,,,,,,,,,,,,,,
Weichi Wu; Zhou Zhou,(weichi.wu@mail.utoronto.ca; zhou@utstat.toronto.edu); (weichi.wu@mail.utoronto.ca; zhou@utstat.toronto.edu),2017/1/2,Journal of Business & Economic Statistics,Nonparametric Inference for Time-Varying Coefficient Quantile Regression,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1060884,,,,,,,,,,,,,,,,,,,,
Jing Zhou; Yundong Tu; Yuxin Chen; Hansheng Wang,(zhoujing_89@126.com); (yundong.tu@gsm.pku.edu.cn); (yc18@nyu.edu); (hansheng.wang@qq.com),2017/1/2,Journal of Business & Economic Statistics,Estimating Spatial Autocorrelation With Sampled Network Data,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1061437,,,,,,,,,,,,,,,,,,,,
Jing Qin; Biao Zhang; Denis H.Y. Leung,"National Institute of Allergy and Infectious Disease, National Institutes of Health, Bethesda, MD20892 (jingqin@niaid.nih.gov); Department of MathematicsUniversity of Toledo, Toledo, OH43606-3390 (bzhang@utnet.utoledo.edu); School of EconomicsSingapore Management University, Singapore, 178903 (bzhang@utnet.utoledo.edu)",2017/1/2,Journal of Business & Economic Statistics,Efficient Augmented Inverse Probability Weighted Estimation in Missing Data Problems,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1058266,,,,,,,,,,,,,,,,,,,,
Jiaying Gu; Roger Koenker,"Department of Economics, University of Toronto, Max Gluskin House, 150 St. George St., Toronto, Ontario, M5S 3G7 (jiaying.gu@toronto.ca); Department of Economics, University of Illinois, Urbana, IL61801 (rkoenker@uiuc.edu)",2017/1/2,Journal of Business & Economic Statistics,Unobserved Heterogeneity in Income Dynamics: An Empirical Bayes Perspective,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1052457,,,,,,,,,,,,,,,,,,,,
Sílvia Gonçalves; Benoit Perron; Antoine Djogbenou,"Department of Economics, University of Western Ontario, London, Ontario, Canada, N6A 5C2 (sgoncal9@uwo.ca); (Benoit.perron@umontreal.ca); (antoine.djogbenou@umontreal.ca)",2017/1/2,Journal of Business & Economic Statistics,Bootstrap Prediction Intervals for Factor Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1054492,,,,,,,,,,,,,,,,,,,,
Juan Carlos Escanciano; Juan Carlos Pardo-Fernández; Ingrid Van Keilegom,"University, Bloomington, 47405-7104, IN (jescanci@indiana.edu); Department of Statistics and OR, Universidade de Vigo, Campus Universitario, 36310Vigo, Spain (juancp@uvigo.es); Université Catholique de Louvain, Voie du Roman Pays, 20 B-1348 Louvain-la-Neuve, Belgium (ingrid.vankeilegom@uclouvain.be)",2017/1/2,Journal of Business & Economic Statistics,Semiparametric Estimation of Risk?�Return Relationships,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1052879,,,,,,,,,,,,,,,,,,,,
Chenxue Li; Deyuan Li; Liang Peng,"State University, Atlanta, GA30303 (chenxuelee@foxmail.com); (deyuanli@fudan.edu.cn); State University, Atlanta, 30303, GA (lpeng@gsu.edu)",2017/1/2,Journal of Business & Economic Statistics,Uniform Test for Predictive Regression With AR Errors,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1052460,,,,,,,,,,,,,,,,,,,,
Shih-Kang Chao; Katharina Proksch; Holger Dette; Wolfgang Karl Härdle,"Ladislaus von Bortkiewicz Chair of Statistics, C.A.S.E. - Center for Applied Statistics and Economics, Humboldt-Universität zu Berlin, Unter den Linden 6, 10099Berlin, Germany (shih-kang.chao@cms.hu-berlin.de); Fakultät für Mathematik, Ruhr-Universität Bochum, 44780Bochum, Germany (katharina.proksch@rub.de; holger.dette@rub.de); Fakultät für Mathematik, Ruhr-Universität Bochum, 44780Bochum, Germany (katharina.proksch@rub.de; holger.dette@rub.de); Ladislaus von Bortkiewicz Chair of Statistics, C.A.S.E. - Center for Applied Statistics and Economics, Humboldt-Universität zu Berlin, Unter den Linden 6, 10099 Berlin, Germany, and School of Business, Singapore Management University, Singapore, 178899, Singapore (haerdle@wiwi.hu-berlin.de)",2017/1/2,Journal of Business & Economic Statistics,Confidence Corridors for Multivariate Generalized Quantile Regression,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1054493,,,,,,,,,,,,,,,,,,,,
Dong Hwan Oh; Andrew J. Patton,"Quantitative Risk Analysis Section, Federal Reserve Board, Washington, DC20551 (donghwan.oh@frb.gov); Department of Economics, Duke University, Box 90097, Durham, NC27708 (andrew.patton@duke.edu)",2017/1/2,Journal of Business & Economic Statistics,Modeling Dependence in High Dimensions With Factor Copulas,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1062384,,,,,,,,,,,,,,,,,,,,
Joshua C. C. Chan,(joshuacc.chan@gmail.comw),2017/1/2,Journal of Business & Economic Statistics,The Stochastic Volatility in Mean Model With Time-Varying Parameters: An Application to Inflation Modeling,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1052459,,,,,,,,,,,,,,,,,,,,
Guodong Li; Qianqian Zhu; Zhao Liu; Wai Keung Li,"Department of Statistics and Actuarial Science, University of Hong Kong, Hong Kong (gdli@hku.hk; qianqzhu@hku.hk; zhaoliu@hku.hk; hrntlwk@hku.hk); Department of Statistics and Actuarial Science, University of Hong Kong, Hong Kong (gdli@hku.hk; qianqzhu@hku.hk; zhaoliu@hku.hk; hrntlwk@hku.hk); Department of Statistics and Actuarial Science, University of Hong Kong, Hong Kong (gdli@hku.hk; qianqzhu@hku.hk; zhaoliu@hku.hk; hrntlwk@hku.hk); Department of Statistics and Actuarial Science, University of Hong Kong, Hong Kong (gdli@hku.hk; qianqzhu@hku.hk; zhaoliu@hku.hk; hrntlwk@hku.hk)",2017/4/3,Journal of Business & Economic Statistics,On Mixture Double Autoregressive Time Series Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1102735,,,,,,,,,,,,,,,,,,,,
Steven N. Durlauf; Andros Kourtellos; Chih Ming Tan,"Department of Economics, University of Wisconsin, Madison, 53706-1393, WI (sdurlauf@ssc.wisc.edu); Department of Economics, University of Cyprus, Cyprus (andros@ucy.ac.cy); Department of Economics, University of North Dakota, Grand Forks, ND 58201(chihming.tan@business.und.edu)",2017/4/3,Journal of Business & Economic Statistics,Status Traps,https://www.tandfonline.com/doi/abs/10.1080/07350015.2016.1189339,,,,,,,,,,,,,,,,,,,,
Ngai Hang Chan; Ching-Kang Ing; Yuanbo Li; Chun Yip Yau,"Southwestern University of Finance and Economics and The Chinese University of Hong Kong, Shatin, NT, Hong Kong, Hong Kong (nhchan@sta.cuhk.edu.hk); Sinica, Institute of Statistical Sciences, National Taiwan University, Taipei, 11529, Taiwan (cking@stat.sinica.edu.tw); Department of Statistics, The Chinese University of Hong Kong, Shatin, NT, Hong Kong, Hong Kong (jacoblyb@gmail.com; cyyau@sta.cuhk.edu.hk); Department of Statistics, The Chinese University of Hong Kong, Shatin, NT, Hong Kong, Hong Kong (jacoblyb@gmail.com; cyyau@sta.cuhk.edu.hk)",2017/4/3,Journal of Business & Economic Statistics,Threshold Estimation via Group Orthogonal Greedy Algorithm,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1064820,,,,,,,,,,,,,,,,,,,,
Bruce E. Hansen,"Department of Economics, University of Wisconsin, Madison, 53706, WI (behansen@wisc.edu)",2017/4/3,Journal of Business & Economic Statistics,Regression Kink With an Unknown Threshold,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1073595,,,,,,,,,,,,,,,,,,,,
Young-Joo Kim; Myung Hwan Seo,"Department of Economics, Hongik University, Seoul, Korea(y.j.kim@hongik.ac.kr); Department of Economics, Seoul National University, Seoul, Korea(myunghseo@snu.ac.kr)",2017/4/3,Journal of Business & Economic Statistics,Is There a Jump in the Transition?,https://www.tandfonline.com/doi/abs/10.1080/07350015.2016.1164055,,,,,,,,,,,,,,,,,,,,
Jesùs Gonzalo; Jean-Yves Pitarakis,"Department of Economics, Universidad Carlos III de Madrid, 28903Getafe, Madrid, Spain; Department of Economics, University of Southampton, Southampton, SO17 1BJ, U.K.",2017/4/3,Journal of Business & Economic Statistics,Inferring the Predictability Induced by a Persistent Regressor in a Predictive Threshold Model,https://www.tandfonline.com/doi/abs/10.1080/07350015.2016.1164054,,,,,,,,,,,,,,,,,,,,
Yaxing Yang; Shiqing Ling,"(yyangaj@gmail.com); Department of Mathematics, Hong Kong University of Science and Technology, Hong Kong (maling@ust.hk)",2017/4/3,Journal of Business & Economic Statistics,Inference for Heavy-Tailed and Multiple-Threshold Double Autoregressive Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1064433,,,,,,,,,,,,,,,,,,,,
Fei Su; Kung-Sik Chan,"ISO Innovative Analytics, San Francisco, 94111, CA (sophysu@gmail.com); City, IA (kung-sik-chan@uiowa.edu)",2017/4/3,Journal of Business & Economic Statistics,Testing for Threshold Diffusion,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1073594,,,,,,,,,,,,,,,,,,,,
Davide Pettenuzzo; Allan Timmermann,"Sachar International Center, Brandeis University, Waltham, 02453, MA (dpettenu@brandeis.edu); Jolla, 92093, CA (atimmerm@ucsd.edu)",2017/4/3,Journal of Business & Economic Statistics,Forecasting Macroeconomic Variables Under Model Instability,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1051183,,,,,,,,,,,,,,,,,,,,
Biqing Cai; Jiti Gao; Dag Tjøstheim,"School of Economics, Huazhong University of Science and Technology, Wuhan, China(cbqywl@gmail.com); (jiti.gao@monash.edu); Department of Mathematics, University of Bergen, 5020Bergen, Norway(Dag.Tjostheim@math.uib.no)",2017/4/3,Journal of Business & Economic Statistics,A New Class of Bivariate Threshold Cointegration Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1062385,,,,,,,,,,,,,,,,,,,,
Kung-Sik Chan; Bruce E. Hansen; Allan Timmermann,"City, IA52242 (kung-sik-chan@uiowa.edu); Department of Economics, University of Wisconsin, Madison, WI53706 (behansen@wisc.edu); Jolla, CA92093 (atimmerm@ucsd.edu)",2017/4/3,Journal of Business & Economic Statistics,Guest Editors??Introduction: Regime Switching and Threshold Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2017.1236521,,,,,,,,,,,,,,,,,,,,
Luc Bauwens; Jean-François Carpantier; Arnaud Dufays,"Neuve, Belgium, and SKEMA Business School, Lille, France (luc.bauwens@uclouvain.be); CREA, Université du Luxembourg, Luxembourg, Grand Duché de Luxembourg>(jf.carpantier@gmail.com); Department of Economics, Université Laval, Ville de Québec, Canada(arnuad.dufays@uclouvain.be)",2017/4/3,Journal of Business & Economic Statistics,Autoregressive Moving Average Infinite Hidden Markov-Switching Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1123636,,,,,,,,,,,,,,,,,,,,
Laurent Callot; Mehmet Caner; Anders Bredahl Kock; Juan Andres Riquelme,"Department of Econometrics and Operations Research, VU University Amsterdam, CREATES, and the Tinbergen Institute, Amsterdam, The Netherlands(lcallot@vu.nl); Analytics, Department of Statistics, 452 Arps Hall, Ohio State University, Columbus, OH43210 (caner.12@osu.edu); Department of Economics and Business, Aarhus University, Aarhus, Denmark, and CREATES (akock@creates.au.dk); Department of Economics,, University of Talca, Chile(jariquel@ncsu.edu)",2017/4/3,Journal of Business & Economic Statistics,Sharp Threshold Detection Based on Sup-Norm Error Rates in High-Dimensional Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1052461,,,,,,,,,,,,,,,,,,,,
Yonghong An; Xun Tang,"Texas A&M University, College Station, TX77843 (yonghong.an@uconn.edu); Rice University, Houston, TX77025 (xun.tang1@gmail.com)",2017/7/3,Journal of Business & Economic Statistics,Identifying Structural Models of Committee Decisions With Heterogeneous Tastes and Ideological Bias,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1084309,,,,,,,,,,,,,,,,,,,,
Michael P. Clements; Ana Beatriz Galvão,"ICMA Centre, Henley Business School, University of Reading, Oxfordshire, RG6 6BA, UK (M.P.Clements@reading.ac.uk); Warwick Business School, University of Warwick, Coventry, CV4 7AL, UK (Ana.Galvao@wbs.ac.uk)",2017/7/3,Journal of Business & Economic Statistics,Predicting Early Data Revisions to U.S. GDP and the Effects of Releases on Equity Markets,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1076726,,,,,,,,,,,,,,,,,,,,
Ying Chen; Bo Li,"Department of Statistics and Applied Probability, National University of Singapore, 117546Singapore (stacheny@nus.edu.sg; lbemily86@gmail.com); Department of Statistics and Applied Probability, National University of Singapore, 117546Singapore (stacheny@nus.edu.sg; lbemily86@gmail.com)",2017/7/3,Journal of Business & Economic Statistics,An Adaptive Functional Autoregressive Forecast Model to Predict Electricity Price Curves,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1092976,,,,,,,,,,,,,,,,,,,,
Michael P. Clements,"ICMA Centre, Henley Business School, University of Reading, Reading, RG6 6BA, UK (m.p.clements@reading.ac.uk)",2017/7/3,Journal of Business & Economic Statistics,Assessing Macro Uncertainty in Real-Time When Data Are Subject To Revision,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1081596,,,,,,,,,,,,,,,,,,,,
D. S. Poskitt; Wenying Yao,"Department of Econometrics and Business Statistics, Monash University, VIC, 3800, Australia, (Donald.Poskitt@monash.edu.au); (wenying.yao@monash.edu)",2017/7/3,Journal of Business & Economic Statistics,Vector Autoregressions and Macroeconomic Modeling: An Error Taxonomy,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1077139,,,,,,,,,,,,,,,,,,,,
Jinyong Hahn; Hyungsik Roger Moon; Connan Snider,"Department of Economics, UCLA, 8283 Bunche Hall, Mail Stop: 147703, Los Angeles, CA90095 (hahn@econ.ucla.edu); (moonr@usc.edu); Department of Economics, UCLA, 283 Bunche Hall, Mail Stop: 147703, Los Angeles, CA90095 (snider@econ.ucla.edu)",2017/7/3,Journal of Business & Economic Statistics,LM Test of Neglected Correlated Random Effects and Its Application,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1063426,,,,,,,,,,,,,,,,,,,,
Tao Zou; Song Xi Chen,(zoutao@pku.edu.cn); (csx@gsm.pku.edu.cn),2017/7/3,Journal of Business & Economic Statistics,Enhancing Estimation for Interest Rate Diffusion Models With Bond Prices,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1089773,,,,,,,,,,,,,,,,,,,,
Pedro H. C. Sant?�Anna,"Department of Economics, Vanderbilt University, Nashville, TN37235 (pedro.h.santanna@vanderbilt.edu)",2017/7/3,Journal of Business & Economic Statistics,Testing for Uncorrelated Residuals in Dynamic Count Models With an Application to Corporate Bankruptcy,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1102732,,,,,,,,,,,,,,,,,,,,
Johannes Tang Kristensen,"Department of Business and Economics, University of Southern Denmark, OdensemDenmark (johannes@sam.sdu.dk); Center for Research in Econometric Analysis of Time Series (CREATES), Aarhus University, Aarhus V, Denmark",2017/7/3,Journal of Business & Economic Statistics,Diffusion Indexes With Sparse Loadings,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1084308,,,,,,,,,,,,,,,,,,,,
Fabian Krüger; Todd E. Clark; Francesco Ravazzolo,"Heidelberg Institute for Theoretical Studies, Computational Statistics Group, Heidelberg, Germany (fabian.krueger@h-its.org); Economic Research Department, Federal Reserve Bank of Cleveland, Cleveland, 44101, OH (todd.clark@clev.frb.org); Norges Bank and BI Norwegian Business School, Oslo, Norway (francesco.ravazzolo@norges-bank.no)",2017/7/3,Journal of Business & Economic Statistics,Using Entropic Tilting to Combine BVAR Forecasts With External Nowcasts,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1087856,,,,,,,,,,,,,,,,,,,,
Drew D. Creal,"The University of Chicago Booth School of Business, Chicago, IL60637 (dcreal@chicagobooth.edu)",2017/10/2,Journal of Business & Economic Statistics,A Class of Non-Gaussian State Space Models With Exact Likelihood Inference,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1092977,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Liangjun Su; Xi Qu,"School of Economics, Singapore Management University, Singapore178903, Singapore (ljsu@smu.edu.sg); (xiqu@sjtu.edu.cn)",2017/10/2,Journal of Business & Economic Statistics,Specification Test for Spatial Autoregressive Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1102734,,,,,,,,,,,,,,,,,,,,
Philip L. H. Yu; W. K. Li; F. C. Ng,(plhyu@hku.hk; hrntlwk@hku.hk; patng324@connect.hku.hk); (plhyu@hku.hk; hrntlwk@hku.hk; patng324@connect.hku.hk); (plhyu@hku.hk; hrntlwk@hku.hk; patng324@connect.hku.hk),2017/10/2,Journal of Business & Economic Statistics,The Generalized Conditional Autoregressive Wishart Model for Multivariate Realized Volatility,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1096788,,,,,,,,,,,,,,,,,,,,
Christophe Hurlin; Sébastien Laurent; Rogier Quaedvlieg; Stephan Smeekes,"Laboratoire d?�Economie d?�Orléans (LEO), University of Orléans-CNRS, Orléans, France (christophe.hurlin@univ-orleans.fr); Aix-Marseille School of Economics, CNRS & EHESS, Aix-Marseille Graduate School of Management-IAE, Aix-Marseille University, France (sebastien.laurent@iae-aix.com); Department of Finance, Maastricht University, Maastricht, The Netherlands (r.quaedvlieg@maastrichtuniversity.nl); Department of Quantitative Economics, Maastricht University, Maastricht, The Netherlands (s.smeekes@maastrichtuniversity.nl)",2017/10/2,Journal of Business & Economic Statistics,Risk Measure Inference,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1127815,,,,,,,,,,,,,,,,,,,,
Tucker McElroy,"Center for Statistical Research and Methodology, U.S. Census Bureau, Washington, , DC20233-9100 (tucker.s.mcelroy@census.gov)",2017/10/2,Journal of Business & Economic Statistics,"Multivariate Seasonal Adjustment, Economic Identities, and Seasonal Taxonomy",https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1123159,,,,,,,,,,,,,,,,,,,,
Songnian Chen; Jichun Si; Hanghui Zhang; Yahong Zhou,"Department of Economics, The Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong (snchen@ust.hk); (sijichun@outlook.com); (zhang.hanghui@mail.shufe.edu.cn; yahong.zhou@mail.shufe.edu.cn); (zhang.hanghui@mail.shufe.edu.cn; yahong.zhou@mail.shufe.edu.cn)",2017/10/2,Journal of Business & Economic Statistics,Root-N Consistent Estimation of a Panel Data Binary Response Model With Unknown Correlated Random Effects,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1130635,,,,,,,,,,,,,,,,,,,,
Ke Zhu; Wai Keung Li; Philip L. H. Yu,"(kzhu@amss.ac.cn); Department of Statistics and Actuarial Science, University of Hong Kong, Pokfulam Road, Hong Kong (hrntlwk@hku.hk; plhyu@hku.hk); Department of Statistics and Actuarial Science, University of Hong Kong, Pokfulam Road, Hong Kong (hrntlwk@hku.hk; plhyu@hku.hk)",2017/10/2,Journal of Business & Economic Statistics,Buffered Autoregressive Models With Conditional Heteroscedasticity: An Application to Exchange Rates,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1123634,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Babur De Los Santos; Ali Hortaçsu; Matthijs R. Wildenbeest,"John E. Walker Department of Economics, Clemson University, 228 Sirrine Hall, Clemson, SC29634 (babur@clemson.edu); Department of Economics, University of Chicago, 5757 S. University Avenue, Chicago, IL60637 (hortacsu@uchicago.edu); University, 1309 E. 10th Street, Bloomington, IN47405 (mwildenb@indiana.edu)",2017/10/2,Journal of Business & Economic Statistics,Search With Learning for Differentiated Products: Evidence from E-Commerce,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1123633,,,,,,,,,,,,,,,,,,,,
Bo E. Honoré; Michaela Kesina,"Department of Economics, Princeton University, Princeton, NJ08544-1021 (honore@Princeton.edu); ETH Zürich, Leonhardstrasse 21, 8092Zürich, Switzerland (kesina@kof.ethz.ch)",2017/10/2,Journal of Business & Economic Statistics,Estimation of Some Nonlinear Panel Data Models With Both Time-Varying and Time-Invariant Explanatory Variables,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1123635,,,,,,,,,,,,,,,,,,,,
Adam McCloskey; Jonathan B. Hill,"Department of Economics, Brown University, Providence, RI02912 (adam_mccloskey@brown.edu); Department of Economics, University of North Carolina, Chapel Hill, NC27599 (jbhill@email.unc.edu)",2017/10/2,Journal of Business & Economic Statistics,Parameter Estimation Robust to Low-Frequency Contamination,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1093948,,,,,,,,,,,,,,,,,,,,
Xiangjin B. Chen; Jiti Gao; Degui Li; Param Silvapulle,"(bruce.chen@buseco.monash.edu.au; jiti.Gao@monash.edu); (bruce.chen@buseco.monash.edu.au; jiti.Gao@monash.edu); Department of Mathematics, University of York, York, YO10 5DD, United Kingdom (degui.li@york.ac.uk); (param.silvapulle@monash.edu)",2018/1/2,Journal of Business & Economic Statistics,Nonparametric Estimation and Forecasting for Time-Varying Coefficient Realized Volatility Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2016.1138118,,,,,,,,,,,,,,,,,,,,
Jack Porter,"University of Wisconsin, Madison, WI53706 (jrporter@ssc.wisc.edu)",2018/1/2,Journal of Business & Economic Statistics,Comment on ?�Simple Estimators for Invertible Index Models??https://www.tandfonline.com/doi/abs/10.1080/07350015.2017.1396989,,,,,,,,,,,,,,,,,,,,,
Roberto Casarin; Domenico Sartore; Marco Tronzano,"Departments of Economics, University Ca??Foscari of Venice, Italy (r.casarin@unive.it; sartore@unive.it); Departments of Economics, University Ca??Foscari of Venice, Italy (r.casarin@unive.it; sartore@unive.it); Department of Economics, University of Genoa,16126 Genoa, Italy (tronzano@economia.unige.it)",2018/1/2,Journal of Business & Economic Statistics,A Bayesian Markov-Switching Correlation Model for Contagion Analysis on Exchange Rate Markets,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1137757,,,,,,,,,,,,,,,,,,,,
S. Khan; E. Tamer,"Department of Economics, Boston College, Chestnut Hill, MA (shakeeb.khan@bc.edu); Department of Economics, Harvard University, Cambridge, MA (elietamer@fas.harvard.edu)",2018/1/2,Journal of Business & Economic Statistics,"Discussion of ?�Simple Estimators for Invertible Index Models??by H. Ahn, H. Ichimura, J. Powell, and P. Ruud ",https://www.tandfonline.com/doi/abs/10.1080/07350015.2017.1392312,,,,,,,,,,,,,,,,,,,,
Qiurong Cui; Zhengjun Zhang,"Department of Statistics, University of Wisconsin?�Madison, Madison, WI53706 (zjz@stat.wisc.edu); Department of Statistics, University of Wisconsin?�Madison, Madison, WI53706 (zjz@stat.wisc.edu)",2018/1/2,Journal of Business & Economic Statistics,Max-Linear Competing Factor Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1137761,,,,,,,,,,,,,,,,,,,,
Yao Luo; Yuanyuan Wan,(yao.luo@utoronto.ca; yuanyuan.wan@utoronto.ca); (yao.luo@utoronto.ca; yuanyuan.wan@utoronto.ca),2018/1/2,Journal of Business & Economic Statistics,Integrated-Quantile-Based Estimation for First-Price Auction Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2016.1166119,,,,,,,,,,,,,,,,,,,,
Knut Are Aastveit; Francesco Ravazzolo; Herman K. van Dijk,"Department, Norges Bank, Oslo, Norway (Knut-Are.Aastveit@norges-bank.no); Faculty of Economics and Management, Free University of Bozen/Bolzano, Bozen/Bolzano, Italy (Francesco.Ravazzolo@norges-bank.no); Econometric Institute, Erasmus University Rotterdam, Econometrics Department, VU University Amsterdam, and Tinbergen Institute, Rotterdam, The Netherlands (hkvandijk@ese.eur.nl)",2018/1/2,Journal of Business & Economic Statistics,Combined Density Nowcasting in an Uncertain Economic Environment,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1137760,,,,,,,,,,,,,,,,,,,,
Lancelot F. James; Gernot Müller; Zhiyuan Zhang,"Department of Information Systems, Business Statistics and Operations Management, Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong SAR (lancelot@ust.hk); Institute of Mathematics, Augsburg University, 86159Augsburg, Germany (gernot.mueller@math.uni-augsburg.de); (zhang.zhiyuan@mail.shufe.edu.cn)",2018/1/2,Journal of Business & Economic Statistics,Stochastic Volatility Models Based on OU-Gamma Time Change: Theory and Estimation,https://www.tandfonline.com/doi/abs/10.1080/07350015.2015.1133427,,,,,,,,,,,,,,,,,,,,
Hyungtaik Ahn; Hidehiko Ichimura; James L. Powell; Paul A. Ruud,"(htahn@dongguk.edu); Faculty of Economics, University of Tokyo, Bunkyo, Tokyo113-8654, Japan (ichimura@e.u-tokyo.ac.jp); Department of Economics, University of California, Berkeley, CA94720 (powell@econ.berkeley.edu); Department of Economics, Vassar College, Poughkeepsie, NY12604 (paruud@vassar.edu)",2018/1/2,Journal of Business & Economic Statistics,Simple Estimators for Invertible Index Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2017.1379405,,,,,,,,,,,,,,,,,,,,
Tadao Hoshino,"University, Shinjuku, 169-8050, Tokyo, Japan (thoshino@aoni.waseda.jp)",2018/1/2,Journal of Business & Economic Statistics,Semiparametric Spatial Autoregressive Models With Endogenous Regressors: With an Application to Crime Data,https://www.tandfonline.com/doi/abs/10.1080/07350015.2016.1146145,,,,,,,,,,,,,,,,,,,,
Andres Aradillas-Lopez,"State University, University Park, PA16801 (aaradill@psu.edu)",2018/1/2,Journal of Business & Economic Statistics,A Comment on ?�Simple Estimators for Invertible Index Models??https://www.tandfonline.com/doi/abs/10.1080/07350015.2017.1379406,,,,,,,,,,,,,,,,,,,,,
